id,name,signal,h_codes,euh_codes,p_codes,symbols
001000,Brom,Gefahr,"H330,H314,H400",,"P210,P273,P304+P340,P305+P351+P338,P309+P310,P403+P233","GHS06,GHS05,GHS09"
001010,Iod,Achtung,"H312+H332,H315,H319,H335,H372,H400",,"P273,P302+P352,P305+P351+P338,P314","GHS08,GHS07,GHS09"
001020,Schwefeldioxid,Gefahr,"H331,H314,H280",EUH071,"P260,P280,P304+P340,P303+P361+P353,P305+P351+P338,P315,P405,P403","GHS06,GHS05,GHS04"
001030,Schwefeltrioxid,Gefahr,"H314,H335",EUH014,"P261,P280,P305+P351+P338,P310","GHS05,GHS07"
001040,"Fluorwasserstoff, wasserfrei",Gefahr,"H300,H310,H330,H314",EUH071,"P260,P262,P280,P304+P340,P302+P350,P303+P361+P353,P305+P351+P338,P315,P403,P405","GHS06,GHS05"
001050,"Chlorwasserstoff, wasserfrei",Gefahr,"H331,H314,H280",EUH071,"P260,P280,P304+P340,P303+P361+P353,P305+P351+P338,P315,P405,P403","GHS06,GHS05,GHS04"
001060,"Bromwasserstoff, wasserfrei",Gefahr,"H331,H314,H280",EUH071,"P260,P280,P303+P361+P353,P304+P340,P305+P351+P338,P315,P403,P405","GHS06,GHS05,GHS04"
001070,"Iodwasserstoff, wasserfrei",Gefahr,H314,,,"GHS04,GHS05"
001080,Stickstoffmonoxid,Gefahr,"H270,H280,H330,H314",EUH071,,"GHS03,GHS04,GHS06,GHS05"
001090,Stickstoffdioxid,Gefahr,"H270,H280,H330,H314",EUH071,,"GHS03,GHS04,GHS06,GHS05"
001100,"Ammoniak, wasserfrei",Gefahr,"H221,H280,H331,H314,H400",EUH071,"P210,P260,P280,P273,P304+P340,P303+P361+P353,P305+P351+P338,P315,P377,P381,P405,P403","GHS04,GHS06,GHS05,GHS09"
001110,Kohlenmonoxid,Gefahr,"H220,H280,H331,H360D,H372",,"P202,P210,P260,P304+P340,P308+P313,P315,P377,P381,P405,P403","GHS02,GHS04,GHS06,GHS08"
001120,Kohlendioxid,Achtung,H280,,P403,GHS04
001130,Schwefelwasserstoff,Gefahr,"H220,H280,H330,H335,H400",,"P260,P210,P273,P304+P340,P315,P377,P381,P405,P403","GHS02,GHS04,GHS06,GHS09"
001140,Wasser,,,,,
001150,Calciumhydroxid,Gefahr,"H315,H318,H335",,"P280,P305+P351+P338","GHS05,GHS07"
001160,Schwefelsäure,Gefahr,"H290,H314",,"P280,P301+P330+P331,P305+P351+P338,P308+P310",GHS05
001170,Calciumsulfat,,,,,
001180,Kaliumperoxodisulfat,Gefahr,"H272,H302,H315,H317,H319,H334,H335",,"P220,P261,P280,P305+P351+P338,P342+P311","GHS03,GHS08,GHS07"
001190,Eisen(II)-oxid,,,,,
001200,Calciumoxid,Gefahr,"H315,H318,H335",,"P261,P280,P305+P351+P338","GHS05,GHS07"
001210,Magnesiumoxid,,,,,
001220,Natriumperoxid,Gefahr,"H271,H314",,"P210,P221,P280,P301+P330+P331,P305+P351+P338,P309+P310","GHS03,GHS05"
001230,Nickeloxid,Gefahr,"H317,H350i,H372,H413",,"P201,P280,P308+P313","GHS08,GHS07"
001240,"Blei(II,IV)-oxid",Gefahr,"H272,H302,H332,H351,H360Df,H372,H410",,"P201,P210,P261,P273,P280,P308+P313","GHS03,GHS08,GHS07,GHS09"
001250,Vanadium(V)-oxid,Gefahr,"H302+H332,H318,H335,H341,H361d,H372,H411",,"P261,P273,P280,P305+P351+P338,P314","GHS05,GHS07,GHS08,GHS09"
001270,Natriumhydroxid,Gefahr,"H290,H314",,"P280,P301+P330+P331,P305+P351+P338,P308+P310",GHS05
